"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"99",0,1.64819244151573,0.618,0.171,0,"4","HLA-DRB5"
"100",0,1.63369000676165,0.486,0.113,0,"4","CD83"
"101",0,4.31855952631189,0.98,0.337,0,"5","CA1"
"102",0,4.30849065642842,1,0.356,0,"5","HBM"
"103",0,3.91049461131243,0.995,0.15,0,"5","CA2"
"104",0,3.64118092041755,1,0.374,0,"5","AHSP"
"105",0,3.60593740566264,0.997,0.146,0,"5","GYPA"
"106",0,3.41358681244742,1,0.502,0,"5","PRDX2"
"107",0,3.33624480964776,0.998,0.153,0,"5","HEMGN"
"108",0,3.2395709542511,1,0.551,0,"5","HBD"
"109",0,2.94785188551918,0.995,0.157,0,"5","SLC4A1"
"110",0,2.91377173003858,0.985,0.125,0,"5","GYPB"
"111",0,2.79717107415098,1,0.912,0,"5","HBA1"
"112",0,2.69803597528171,1,0.997,0,"5","HBB"
"113",0,2.68862707079851,0.997,0.329,0,"5","BLVRB"
"114",0,2.64460629573801,1,0.974,0,"5","HBA2"
"115",0,2.58238189890671,1,0.563,0,"5","HMGB2"
"116",0,2.50090007614881,0.934,0.121,0,"5","H1F0"
"117",0,2.45971083460239,0.855,0.282,0,"5","HIST1H4C"
"118",0,2.43103249902101,0.985,0.203,0,"5","UROD"
"119",0,2.39230462005129,0.982,0.175,0,"5","HMBS"
"120",0,2.35873984010321,0.999,0.503,0,"5","TUBA1B"
"121",0,3.87395633138887,1,0.557,0,"6","HBD"
"122",0,3.33408774127841,1,0.997,0,"6","HBB"
"123",0,3.19898425994355,1,0.913,0,"6","HBA1"
"124",0,3.15854272685761,1,0.975,0,"6","HBA2"
"125",0,3.02099932645548,0.999,0.364,0,"6","HBM"
"126",0,3.01358160500902,1,0.244,0,"6","SLC25A37"
"127",0,2.88185204610858,0.997,0.219,0,"6","ALAS2"
"128",0,2.8161267764222,1,0.382,0,"6","AHSP"
"129",0,2.69681110847044,0.993,0.157,0,"6","GYPA"
"130",0,2.66735069291561,0.999,0.232,0,"6","SNCA"
"131",0,2.61872213304487,0.998,0.168,0,"6","SLC4A1"
"132",0,2.43007571569424,0.991,0.184,0,"6","HMBS"
"133",0,2.41073891746156,0.943,0.137,0,"6","GYPB"
"134",0,2.31288096437118,0.713,0.057,0,"6","TMCC2"
"135",0,2.26389817399577,0.97,0.299,0,"6","BNIP3L"
"136",0,2.25331928722748,0.985,0.345,0,"6","CA1"
"137",0,2.24744171469882,0.998,0.337,0,"6","BLVRB"
"138",0,2.20952680037399,0.965,0.164,0,"6","HEMGN"
"139",0,2.13127463155039,0.961,0.174,0,"6","FECH"
"140",0,2.11214826353924,0.666,0.058,0,"6","IFIT1B"
"141",0,2.46332288282397,0.694,0.041,0,"7","SPINK2"
"142",0,1.97282728256003,0.837,0.042,0,"7","PRSS57"
"143",0,1.95073696311645,0.852,0.115,0,"7","RP11-620J15.3"
"144",0,1.66038627188315,0.397,0.008,0,"7","AVP"
"145",0,1.64536020604807,0.742,0.053,0,"7","KIAA0125"
"146",0,1.61678711979038,0.815,0.087,0,"7","SOX4"
"147",0,1.60281412531264,0.921,0.272,0,"7","SERPINB1"
"148",0,1.56149666559676,0.841,0.125,0,"7","ANKRD28"
"149",0,1.48188400029486,0.979,0.59,0,"7","HSP90AB1"
"150",0,1.43283802139841,0.794,0.086,0,"7","CDK6"
"151",0,1.41318027245864,0.866,0.142,0,"7","EBPL"
"152",0,1.3960623277464,0.86,0.244,0,"7","STMN1"
"153",0,1.39154205326858,0.923,0.327,0,"7","H2AFY"
"154",0,1.34856144725294,0.865,0.237,0,"7","HMGA1"
"155",0,1.31536076443548,0.666,0.029,0,"7","CYTL1"
"156",0,1.31170635958935,0.996,0.919,0,"7","HNRNPA1"
"157",0,1.28217064390845,0.575,0.023,0,"7","SMIM24"
"158",0,1.26874882825053,0.849,0.31,0,"7","PRDX1"
"159",0,1.26560159686116,0.866,0.258,0,"7","NUCB2"
"160",0,1.25678303892215,0.981,0.639,0,"7","ZFAS1"
"161",0,3.40861031019245,1,0.975,0,"8","HBA2"
"162",0,3.37252002348758,1,0.913,0,"8","HBA1"
"163",0,3.29059106594789,1,0.997,0,"8","HBB"
"164",6.6030679533849e-231,2.96605593281716,0.256,0.074,2.22483771621351e-226,"8","HBG2"
"165",0,2.77984610369697,0.99,0.223,0,"8","ALAS2"
"166",0,2.60363960517493,0.992,0.236,0,"8","SNCA"
"167",0,2.41753319235725,0.954,0.161,0,"8","BPGM"
"168",0,2.15940831306976,0.981,0.302,0,"8","BNIP3L"
"169",0,2.12490410367688,0.938,0.111,0,"8","DCAF12"
"170",0,2.11679002248266,0.736,0.059,0,"8","IFIT1B"
"171",0,2.0429889020101,0.971,0.285,0,"8","MKRN1"
"172",0,1.87920207087514,0.998,0.865,0,"8","UBB"
"173",0,1.85315543158123,0.998,0.559,0,"8","HBD"
"174",0,1.83778412092391,0.943,0.256,0,"8","NCOA4"
"175",0,1.80165169749987,0.993,0.249,0,"8","SLC25A37"
"176",0,1.69402847074291,0.984,0.301,0,"8","SLC25A39"
"177",0,1.66922726020073,0.934,0.179,0,"8","FECH"
"178",0,1.55634007690664,0.909,0.178,0,"8","STRADB"
"179",0,1.4961631822435,0.978,0.341,0,"8","BLVRB"
"180",0,1.43348759733986,0.575,0.066,0,"8","TMCC2"
"181",0,2.67004141227506,0.954,0.036,0,"9","FAM178B"
"182",0,2.44622931904549,0.999,0.513,0,"9","PRDX2"
"183",0,2.44617694277375,0.985,0.145,0,"9","KIAA0101"
"184",0,2.37665665638926,0.994,0.513,0,"9","ATPIF1"
"185",0,2.24948543438805,0.978,0.244,0,"9","TMEM14C"
"186",0,2.23715881756729,0.959,0.094,0,"9","SYNGR1"
